,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-DONOVAN MITCHELL,5,1,2,0,0,0,2,0,0,0,1,0,0
KANSAS-MATT DWYER,3,2,1,0,0,0,0,0,0,0,0,0,0
TXST-STEPHEN VIGIL,3,2,0,1,0,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,3,1,1,0,0,0,0,0,0,0,0,0,0
KANSAS-IAN MCCABE,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,2,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,1,1,0,0,0,0,0,0,0,0,0,0
KANSAS-BEN ENGLES,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-MIKE DEVINE,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-PARIS NICHOLS,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,1,0,0,0,2,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-HOPE EATON,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,1,0,2,0,0,0,0,0,0,0,0,0,0
KANSAS-BRANDON TABOR,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-50,0,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-ADAM MCMORRIS,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-ELI DORSEY,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-KAIJA DEWSBURY,0,0,0,0,3,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-71,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,0,0,1,1,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,0,0,4,0,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,0,0,0,1,0,0,0,0,0
TXST-MICHAEL GENTEMPO,0,0,0,0,0,0,0,0,0,0,1,1,0
TXST-RYAN NAWROCKI,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-TESS ACOSTA,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL HEALD,0,0,0,0,0,0,1,0,0,0,0,0,0
