,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-BRANDON MACDOWRA,3,1,1,1,0,0,0,0,0,0,1,0,0
TXST-JENNA BOLLWEG,2,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,3,2,0,0,0,0,0,0,0,0,0,0
TAMU-UNK,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-LEIF MONTGOMERY,1,1,0,1,0,0,0,0,0,0,0,0,0
TXST-STEPHEN VIGIL,1,1,0,1,0,0,0,0,0,0,0,0,0
TAMU-LOGAN ZAHN,1,1,0,0,0,0,1,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,1,1,0,1,0,0,1,0,0,0,1,0,0
TAMU-SAMMY GARZA,1,1,1,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-MCKENZIE CONNELL,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-0,1,0,1,0,0,0,0,0,0,0,0,0,0
TXST-27,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,1,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,1,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-1,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-TESS ACOSTA,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,0,1,1,0,0,0,1,0,0,0,0,0,0
TAMU-99,0,0,0,0,0,0,0,0,0,0,1,1,0
TAMU-ALEXIS WIEN,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-HARRIS COLEMAN,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,1,0,2,0,0,0,0,0,1,0,0
TXST-BAILEE FIELDS,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,2,0,0,0,1,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,0,0,0,0,0,1,0,0
TAMU-19,0,0,1,0,0,0,1,0,0,0,0,0,0
TAMU-COURTNEY YOUNGS,0,0,0,0,0,0,1,0,0,0,0,0,0
