,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-DONOVAN MITCHELL,5,4,0,0,0,0,3,0,0,0,1,0,0
TEXAS-AIDAN PARSI,4,2,0,1,0,0,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,4,1,0,1,0,0,1,0,0,0,0,0,0
TXST-STEPHEN VIGIL,4,0,0,2,0,0,1,0,0,0,1,0,0
TXST-ABBY LUM,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,2,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,2,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,2,0,0,0,0,0,1,0,0,0,0,0,0
TXST-MELISSA KITE,2,0,0,0,0,0,1,0,0,0,0,0,1
TEXAS-MICHAEL JOHNSTON,1,2,0,0,0,0,3,0,0,0,0,0,0
TEXAS-NICK MARINO,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-35,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,1,2,0,0,0,2,0,0,0,0,0,0
TEXAS-CATHERINE HABERL,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-JENNA BOLLWEG,0,1,1,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,3,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,4,0,0,0,0,0,0,0,0
TEXAS-OMAR GARZA,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-17,0,0,0,0,1,1,0,0,0,0,1,0,0
TXST-71,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JESS MARKLE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,3,1,0,0,0,0,0,0,0
TXST-TESS ACOSTA,0,0,0,1,1,1,0,0,0,0,0,0,0
TEXAS-AUSTIN DICKSON,0,0,0,0,0,0,1,0,0,0,0,0,0
