,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-TJ MARTINEZ,6,1,0,1,0,0,0,0,0,0,0,0,0
TAMU-MIKE MILLER,5,0,2,1,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,2,2,1,0,0,0,2,0,0,0,0,0,0
TAMU-JUAN ACEVEDO,1,1,1,0,0,0,0,1,0,0,0,0,0
TXST-STEPHEN FREEMAN-VIGIL,1,1,0,3,0,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,1,1,0,0,0,0,1,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,1,1,1,0,0,0,2,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ABBY LUM,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-LOGAN ZAHN,1,0,0,1,0,0,1,0,0,0,0,0,0
TAMU-12,0,1,0,1,0,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,1,0,0,2,0,0,0,0,0,0,0,0
TXST-ERIC REYES,0,1,2,0,0,0,1,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,0,0,2,0,0,0,0,0,0,0,0
TAMU-ALEXIS WIEN,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,1,0,0,0,0,0,1,0,0
TXST-19,0,0,0,0,0,0,0,0,1,0,0,0,0
TXST-71,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JENNA BOLLWEG,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,3,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,0,0,0,0,0,0,2,0,0,0,1,1,0
