,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-STEPHEN VIGIL,5,1,0,2,0,0,0,0,0,0,0,0,0
MIZZOU-JACOB PARKER,4,1,2,1,0,0,3,0,0,0,0,0,0
MIZZOU-VINCENT WOOLSEY,2,2,2,1,0,0,2,0,0,0,0,0,0
TXST-TJ MARTINEZ,2,0,0,2,0,0,1,0,0,0,0,0,0
MIZZOU-NATALIE TERZICH,1,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-RUTHIE POLIO,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ABBY LUM,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,1,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-COLE JOST,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,1,0,0,0,0,1,0,0,0,0,0,0
MIZZOU-DAVID BECKER,0,0,0,0,1,0,0,0,0,0,0,0,0
MIZZOU-JUSTIN DEWICK,0,0,0,0,1,0,0,0,0,0,0,0,0
MIZZOU-LAFE ARENS,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-80,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,0,0,0,0,0,0,0,0,0,0,1,0,0
TXST-JOHN MOLINA,0,0,0,0,1,1,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,0,5,0,0,0,0,0,0,0
TXST-STEVO GRALINSKI,0,0,0,0,0,0,0,1,0,0,0,0,0
TXST-TESS ACOSTA,0,0,0,0,1,0,0,0,0,0,0,0,0
