,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TAMU-LANDIS WALTHER,3,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,2,1,3,0,0,0,1,0,0,0,0,0,0
TEXAS-ANDRES GARZA,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,2,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-NICK MARINO,1,3,0,0,0,0,2,0,0,0,0,0,0
TAMU-SAMMY GARZA,1,2,1,1,0,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,1,1,0,1,1,0,1,0,0,0,0,0,0
TAMU-12,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-CATHERINE HABERL,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-1,0,2,1,0,0,0,1,0,0,0,0,0,0
TAMU-JUAN ACEVEDO,0,1,0,1,0,0,0,1,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,1,1,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,1,0,0,0,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,0,0,2,0,0,0,0,0,1,0,0
TAMU-LOUIS SANCHEZ,0,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,3,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,1,1,0,0,0,0,0,0,0
TAMU-MIKE MILLER,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-UNK,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,0,0,0,0,0,0,2,0,0,0,0,0,0
