,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
ROCHESTER-BASEM ASHKAR,6,0,2,0,0,0,3,0,0,0,0,0,0
ASU-JARED MOREDA,2,3,0,0,0,0,0,0,0,0,0,0,0
ASU-JOSHUA COVERICK,2,0,0,0,0,0,0,0,0,0,1,0,0
ASU-COLTON LISH ,2,0,0,0,0,0,1,0,0,0,1,1,0
ASU-10,1,1,0,1,0,0,1,1,0,0,0,0,0
ASU-CELIA EVANS,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,1,0,0,0,0,0,0,0,0,0,0,0,0
ASU-12,1,0,0,0,0,0,1,0,0,0,0,0,0
ASU-9,1,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-JUSTIN KING,1,0,0,0,0,0,2,0,0,0,0,0,0
ASU-BRENTLEE CASS,0,1,1,1,0,0,1,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,0,1,1,0,0,0,1,0,0,0,0,0,0
ASU-AMANI BURTON,0,0,0,0,1,0,0,0,0,0,0,0,0
ASU-CALEB RAGATZ,0,0,0,0,2,0,0,0,0,0,0,0,0
ASU-MAKENNA BAUM,0,0,1,0,0,0,0,0,0,0,0,0,0
ASU-MEGAN SOPA,0,0,1,0,0,0,0,0,0,0,0,0,0
ASU-VICKY SANFORD,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,0,0,0,3,0,0,0,0,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,0,0,2,0,0,0,0,0,1,0,0
ASU-DYLAN BRYANT,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-SAMANTHA DINGA,0,0,0,0,0,0,1,0,0,0,0,0,0
