,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UCLA-JONATHAN GARCIA-ROVETTA,8,1,3,0,0,0,0,0,0,0,0,0,0
UCLA-RYAN HARRIS,6,2,1,0,0,0,1,0,0,0,0,0,0
KANSAS-BRANDON TABOR,6,0,0,1,0,0,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,3,2,0,1,0,0,1,0,0,0,0,0,0
UCLA-CHRISTIAN CLARION,3,1,1,0,0,0,1,0,0,0,0,0,0
KANSAS-MATT DWYER,2,0,2,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL HEALD,1,2,0,0,0,0,2,0,0,0,0,0,0
KANSAS-IAN MCCABE,1,1,0,2,0,0,1,0,0,0,1,0,0
KANSAS-ELI DORSEY,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-MIKE DEVINE,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-PARIS NICHOLS,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-KEVIN GALLAGHER,1,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-UNK,1,0,0,0,0,0,1,1,0,0,0,0,0
UCLA-UNK,1,0,0,0,0,0,2,0,0,0,0,0,0
KANSAS-BRYAN WEARY,0,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-ELIZABETH NG,0,1,1,0,0,0,2,0,0,0,1,0,0
KANSAS-ADAM MCMORRIS,0,0,0,0,0,0,0,0,0,0,1,0,0
KANSAS-JAKE SIMON,0,0,0,0,2,1,0,0,0,0,0,0,0
KANSAS-OLIVIA FEDERICO,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,0,1,0,0,0,0,0,0,0
UCLA-CHRISTIAN KRIEGER,0,0,1,0,0,0,0,0,0,0,1,0,0
UCLA-DANI CLARKE,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-JUSTIN VANLIGTEN,0,0,0,0,2,0,0,0,0,0,1,0,0
