,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
ROCHESTER-BASEM ASHKAR,7,2,2,0,0,0,3,0,0,0,1,0,0
UTSA-AUSTIN VILLEJO,4,1,0,0,0,0,0,0,0,0,1,0,0
UTSA-UNK,2,1,0,1,1,0,1,0,0,0,0,0,0
ROCHESTER-JUSTIN KING,1,1,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-EMMA FOLEY,1,0,0,0,0,0,0,0,0,0,1,0,0
ROCHESTER-MADDISON JORDAN,1,0,0,1,0,0,0,0,0,0,0,0,0
UTSA-CHUCKY SEPULVEDA,1,0,0,0,0,1,0,0,0,0,1,0,0
UTSA-TYLER ZREET,1,0,0,0,0,0,0,0,0,0,1,0,0
UTSA-MIGUEL ESPARZA,0,2,0,0,0,0,0,0,0,0,1,0,0
ROCHESTER-34,0,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-17,0,1,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,0,0,1,0,0,0,0,1,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,0,0,1,2,0,0,0,0,0,0,0
ROCHESTER-SAMANTHA DINGA,0,0,0,1,0,0,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,0,0,0,1,0,0,0,0,0,0,0
UTSA-95,0,0,0,0,0,0,0,0,0,0,1,0,0
UTSA-DANIEL WILLIAMS,0,0,0,0,1,0,0,0,0,0,1,0,0
UTSA-JONATHAN GARCIA,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,0,0,1,1,0,0,1,0,0,0,1,0,0
UTSA-DAVID KEIM,0,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-RENN LEBER,0,0,0,0,0,0,1,0,0,0,0,0,0
