,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-CULLEN FRIDAY,3,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-NICK MARINO,3,0,1,0,0,0,1,0,0,0,1,0,0
TAMU-LOUIS SANCHEZ,2,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-SAMMY GARZA,1,2,1,0,0,0,2,0,0,0,0,0,0
TAMU-SAM HAIMOWITZ,1,1,0,1,0,0,2,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-LOGAN ZAHN,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,2,0,0,0,0,0,0,0,0,1,0,0
TEXAS-ERIN MCBRIDE,0,1,0,0,0,0,1,0,0,0,0,0,0
TAMU-ALEXIS WIEN,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,0,0,1,0,0,0,0,0,1,0,0
TAMU-NICK ROY,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-1,0,0,0,1,0,0,1,0,0,0,0,0,0
TAMU-SHAWN ERWIN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,0,1,0,0,0,0,0,0
