,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-NICK MARINO,7,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,2,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-ELIZABETH NG,2,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-CHRISTIAN CLARION,2,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,1,2,1,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,1,0,0,0,0,0,0,0,0,0,0
UCLA-ASHLEY GORE,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-RYAN HARRIS,1,0,1,1,0,0,0,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,0,4,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,4,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-OMAR GARZA,0,0,0,0,1,1,0,0,0,0,0,0,0
TEXAS-AUSTIN DICKSON,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-UNK,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,0,0,0,2,0,0,0,0,0,0
