,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
CAL-16,4,0,0,0,0,0,1,0,0,0,0,0,0
TXST-6,3,0,0,0,0,0,0,0,0,0,0,0,0
CAL-RYAN PFENNING,2,1,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,2,1,0,0,0,0,0,0,0,0,1,0,0
CAL-MADDI ERDALL,2,0,0,1,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,2,0,0,1,0,0,0,0,0,0,1,0,0
TXST-BRANDON MACDOWRA,1,1,1,0,0,0,1,0,0,0,0,0,0
TXST-ABBY LUM,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,0,1,0,0,0,0,0,0,0,0,0
TXST-HOPE EATON,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-JENNA BOLLWEG,1,0,1,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,2,1,0,0,0,0,0,0,1,0,0
CAL-17,1,0,1,0,0,0,1,0,0,0,0,0,0
CAL-3,1,0,3,0,0,0,1,0,0,0,0,0,0
TXST-TJ MARTINEZ,0,2,0,0,0,0,1,0,0,0,0,0,0
TXST-ERIC REYES,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-STEPHEN VIGIL,0,1,0,0,0,0,0,0,0,0,0,0,0
CAL-42,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-47,0,0,0,0,1,1,0,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,0,0,3,0,0,0,0,0,0,0,0
TXST-17,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,1,1,0,0,0,0,0,0,0
TXST-STEVO GRALINSKI,0,0,0,0,0,0,0,1,0,0,0,0,0
CAL-32,0,0,0,0,0,0,1,0,0,0,0,0,0
