,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TXST-4,3,5,2,1,0,0,0,0,0,0,0,0,0
CAL-RYAN PFENNING,3,4,0,2,0,0,3,0,0,0,0,0,0
TXST-JENNA BOLLWEG,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,3,0,0,0,0,0,0,0,0,0,0,0,0
CAL-13,3,0,0,0,0,0,1,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,2,1,1,0,0,0,1,0,0,0,0,0,0
TXST-TJ MARTINEZ,2,0,0,0,0,0,0,0,0,0,0,0,0
CAL-MADDI ERDALL,2,0,1,0,0,0,1,0,0,0,1,0,0
TXST-DONOVAN MITCHELL,1,3,0,1,0,0,3,0,0,0,0,0,0
TXST-ERIC REYES,1,2,0,1,0,0,1,0,0,0,0,0,0
TXST-STEPHEN VIGIL,1,1,0,0,0,0,0,0,0,0,0,0,0
CAL-UNK,1,0,0,0,0,1,0,0,0,0,0,0,0
TXST-ABBY LUM,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,0,0,0,0,0,0,0,0,0,0,0
CAL-52,1,0,1,0,0,0,1,0,0,0,0,0,0
CAL-3,0,2,0,0,0,0,1,0,0,0,0,0,0
TXST-6,0,1,0,0,0,0,2,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JESS MARKLE,0,0,0,0,3,1,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,2,1,0,0,0,0,1,0,0
TXST-MELISSA KITE,0,0,0,1,0,0,0,0,0,0,0,0,0
TXST-STEVO GRALINSKI,0,0,0,0,0,0,0,0,1,0,0,0,0
CAL-41,0,0,0,0,1,0,1,0,0,0,0,0,0
CAL-42,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-UNK,0,0,0,0,0,0,1,0,0,0,0,0,0
