,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
KANSAS-IAN MCCABE,3,0,0,0,0,0,0,0,0,0,1,0,0
TXST-BRANDON MACDOWRA,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,3,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-BRANDON TABOR,3,0,0,0,0,0,1,0,0,0,0,0,0
TXST-6,2,1,1,0,0,0,1,0,0,0,0,0,0
KANSAS-BRYAN WEARY,2,0,1,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,1,2,0,1,0,0,1,0,0,0,1,0,0
KANSAS-BEN ENGLES,1,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-MATT DWYER,1,1,1,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL HEALD,0,2,3,0,0,0,1,0,0,0,0,0,0
TXST-4,0,2,1,0,0,0,1,0,0,0,0,0,0
KANSAS-JAKE SIMON,0,0,0,0,2,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,0,0,0,0,0,0,0,1,0,0
KANSAS-RACHEL ENGLAND,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-STEVEN GRALINSKI,0,0,0,0,0,0,0,1,0,0,0,0,0
KANSAS-RYAN DICKEY,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,3,0,1,0,0,0,0,0,0
