,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-DAVIS ROE,4,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,4,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,3,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,3,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,2,0,0,0,0,1,0,0,0,1,0,0
TAMU-LANDIS WALTHER,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,2,0,0,2,0,0,3,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,2,0,0,0,0,1,0,0,0,0,0,0
TAMU-23,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,1,0,1,1,0,0,0,0,0,0,0,0,0
TEXAS-SETH LAPRAY,1,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,2,1,0,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,2,1,0,0,0,3,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,1,1,0,0,0,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,0,1,1,0,0,0,2,0,0,0,0,0,0
TAMU-34,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-ADRIENNE DEMOSS,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,0,0,2,0,0,0,0,0,0,0,0
TAMU-KODY FOX,0,0,0,0,0,0,0,0,0,0,1,0,0
TAMU-MIGUEL SOBARZO,0,0,0,0,0,0,0,0,0,0,1,0,0
TAMU-NICK ROY,0,0,0,0,1,0,0,0,0,0,1,1,0
TEXAS-DAVID HUBER,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,1,0,0,0,0,0,1,0,0
TEXAS-JOSHUA MAGEE,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-KYLIE MCBRIDE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,3,1,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-35,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-RANDI DORAN,0,0,0,0,0,0,1,0,0,0,0,0,0
