,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
KANSAS-JOE HANSON,4,0,0,0,0,0,0,0,0,0,1,0,0
KANSAS-IAN MCCABE,3,0,0,0,0,0,2,0,0,0,0,0,0
KANSAS-BRANDON TABOR,2,0,0,1,0,0,1,0,0,0,0,0,0
CAL-RYAN PFENNING,1,2,1,2,0,0,3,0,0,0,1,0,0
CAL-12,1,0,0,0,0,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,1,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,0,1,1,1,0,0,1,0,0,0,0,0,0
CAL-16,0,0,0,0,0,0,0,0,0,0,1,0,0
CAL-ARDIN LO,0,0,0,0,0,1,0,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-64,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,1,0,0,0,1,0,0,0,0
CAL-17,0,0,0,1,0,0,1,0,0,0,0,0,0
CAL-25,0,0,0,0,0,0,1,0,0,0,0,0,0
CAL-13,0,0,0,0,0,0,2,0,0,0,0,0,0
