,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
KANSAS-BRANDON TABOR,6,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-AIDAN PARSI,3,2,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,3,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,2,1,0,0,2,1,0,1,0,0,0,0,0
KANSAS-MIKE DEVINE,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-JOE HANSON,2,0,0,0,0,0,1,0,0,0,1,0,0
TEXAS-KASYE BEVERS,1,1,0,2,0,0,0,0,0,0,0,0,0
KANSAS-53,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-IAN MCCABE,1,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,1,0,0,0,1,0,0
TEXAS-OLIVE JIM-DANIELS,1,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,0,2,0,1,0,0,0,0,0,0,1,0,0
TEXAS-GRAYSON BRIGGS,0,1,2,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,1,0,0,0,0,1,0,0,0,1,0,0
KANSAS-22,0,0,0,0,2,0,0,0,0,0,0,0,0
KANSAS-45,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-CHEYENNE LONG,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,0,0,0,1,0,0,0,0,0,0,1,0,0
KANSAS-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,1,0,0,0,0,0,1,0,0
TEXAS-CARLY JORDAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,0,1,1,0,0,2,0,0,0,1,0,0
