,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
KANSAS-IAN MCCABE,4,0,1,1,0,0,3,0,0,0,0,0,0
KANSAS-JOE HANSON,2,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-BEN ENGELS,2,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BRANDON TABOR,2,0,0,0,0,0,3,0,0,0,0,0,0
UCLA-32,2,0,1,0,0,0,4,0,0,0,1,0,0
KANSAS-RACHEL HEALD,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-DANA DIXON,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-ELIZABETH NG,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-SOFIA DELAVEGA,1,0,0,0,0,0,2,0,0,0,0,0,0
UCLA-35,0,2,1,0,0,0,0,0,0,0,0,0,0
KANSAS-23,0,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-24,0,1,1,0,0,0,1,0,0,0,0,0,0
KANSAS-53,0,0,0,2,0,0,0,0,0,0,0,0,0
KANSAS-64,0,0,0,0,2,1,0,0,0,0,0,0,0
KANSAS-ADAM MCMORRIS,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-KAIJA DEWSBURY,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,2,0,0,0,1,0,0,0,0
KANSAS-UNK,0,0,0,1,1,0,0,0,0,0,0,0,0
UCLA-33,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-38,0,0,0,0,2,0,0,0,0,0,0,0,0
UCLA-46,0,0,0,0,1,1,0,0,0,0,0,0,0
KANSAS-55,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-KEVIN GALLAGHER,0,0,0,1,0,0,1,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,0,0,1,0,0,0,2,0,0,0,0,0,0
