,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
CAL-MADDI ERDALL,4,0,0,0,0,0,1,0,0,0,1,0,0
TEXAS-JOSH JOHNSON,2,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,0,0,0,0,1,1,0,0,0,1,0,0
TEXAS-DAVIS ROE,2,0,0,0,0,0,1,0,0,0,0,0,0
CAL-RYAN PFENNING,1,5,1,2,0,0,4,0,0,0,0,0,0
TEXAS-CARLY JORDAN,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,1,0,0,2,0,0,0,0,0,0,0,0,0
CAL-ELIJAH PHIPPS,1,0,0,0,0,0,1,0,0,0,1,1,0
CAL-13,1,0,0,0,0,0,4,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,0,2,0,1,0,0,0,0,0,0,0,0,0
CAL-17,0,0,0,1,0,0,0,0,0,0,0,0,0
CAL-7,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,0,0,1,1,0,0,0,0,0,0,1,0,0
CAL-ARDIN LO,0,0,0,0,4,0,0,0,0,0,0,0,0
CAL-CHANUN ONG,0,0,0,0,0,0,0,0,0,0,1,0,0
CAL-CONNOR HUGHES,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-IVAN AVALOS,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-RICHMOND KEELING,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,1,0,0
CAL-16,0,0,0,0,0,0,1,0,0,0,1,0,0
CAL-CATHERINE CONDIT,0,0,0,0,0,0,1,0,0,0,0,0,0
CAL-DARA GAEUMAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,0,1,0,0,0,3,0,0,0,0,0,0
