,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UCLA-ELIZABETH NG,4,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,3,2,1,0,0,0,1,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,1,0,0,0,2,0,0,0,0,0,0
TEXAS-CARLY JORDAN,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,1,0,0,0,0,0,0,1,0,0
TEXAS-GRAYSON BRIGGS,1,0,0,1,0,0,0,0,0,0,1,0,0
TEXAS-JOHN ANDERSON,1,0,1,0,0,0,0,1,0,0,0,0,0
TEXAS-22,0,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-32,0,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-TYE RUSH,0,1,0,1,0,0,1,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,3,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,0,0,1,0,0,0,0,0,0,0,0,0
UCLA-34,0,0,0,0,0,0,0,0,0,0,1,0,0
UCLA-35,0,0,1,0,0,0,0,0,0,0,0,0,0
UCLA-ASHLEY GORE,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-JUSTIN VAN LIGTEN,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-RYAN HARRIS,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,0,0,1,0,0,0,1,0,0,0,0,0,0
UCLA-20,0,0,1,1,0,0,1,0,0,0,0,0,0
