,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TAMU-HAYDAN ALTMAN,4,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,3,5,1,1,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,3,2,0,0,0,0,0,0,0,0,1,0,0
TXST-JOHN ALVAREZ,3,0,0,1,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,3,0,0,0,0,0,1,0,0,0,0,0,0
TXST-ERIC REYES,2,3,0,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,2,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-UNK,2,0,0,0,0,0,1,0,0,0,1,0,0
TXST-HECTOR MOQUETE,1,2,0,1,0,0,0,0,0,0,0,0,0
TAMU-NATHON SANCHEZ,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-AMBER BONHOMME,1,1,2,0,0,0,0,0,0,0,1,0,0
TAMU-KEATON MALLORY,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-DAVID AVILA,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-ADRIENNE DEMOSS,1,0,1,0,0,0,1,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,1,0,0,1,0,0,0,0,0,0
TAMU-MALIK DOUGLAS,1,0,2,0,0,0,1,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,1,0,0,0,2,0,0,0,0,0,0
TXST-TAYLOR AHOYT,0,2,0,0,0,0,1,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,0,1,0,0,0,0,0,0,0,0,1,0,0
TAMU-ALEX STEWART,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,3,0,0,0,0,0,1,1,0
TXST-AUDREY FRY,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,0,0,0,1,0,0,0,0,1,0,0
TXST-MICHAEL NALEY,0,0,0,0,0,0,0,0,0,1,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,3,2,0,0,0,0,0,0,0
TXST-MICHAEL GENTEMPO,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-UNK,0,0,1,0,0,0,1,0,0,0,0,0,0
