,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
CAL-RYAN PFENNING,4,3,2,2,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,3,2,1,0,0,0,2,0,0,0,0,0,0
CAL-ELIJAH PHIPPS,3,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-BLAINE MCCULLARS,2,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,2,0,2,2,0,0,1,0,0,0,1,0,0
TAMU-CAMERON VILLAMIL,1,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-JACK MCBRIDE,1,1,2,1,0,0,0,0,0,0,0,0,0
CAL-DARA GAEUMAN,0,1,0,0,0,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-ARDIN LO,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-ERIC SHEN,0,0,0,1,0,0,0,0,0,0,0,0,0
CAL-IVAN AVALOS,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-MADDI ERDALL,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-ARON GEBREMICAEL,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-KEATON MALLORY,0,0,0,0,0,0,0,1,0,0,0,0,0
TAMU-KODY FOX,0,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-MILES TRAVIS,0,0,0,0,3,0,0,0,0,0,0,0,0
TAMU-SHANIAH CARROLL,0,0,0,0,0,1,0,0,0,0,0,0,0
CAL-TJ OHANLON,0,0,0,0,0,0,2,0,0,0,0,0,0
