,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-LUKE MEISSNER,5,2,4,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,2,0,0,0,0,0,0,0,0,0,0
CAL-ELIJAH PHIPPS,2,0,0,2,0,0,2,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,2,2,0,0,0,0,0,0,0,0,0,0
TEXAS-ABBY WADE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,0,1,0,0,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,1,0,0,0,0,0,2,0,0,0,0,0,0
CAL-MADDI ERDALL,1,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,1,0,1,0,0,0,2,0,0,0,0,0,0
CAL-RYAN PFENNING,0,4,1,0,0,0,1,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,0,0,6,0,0,0,0,0,0,0,0
CAL-IVAN AVALOS,0,0,0,0,2,0,0,0,0,0,0,0,0
CAL-UNK,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,1,0,0,0,0,0,1,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,0,0,0
