,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-LUKE MEISSNER,3,2,0,0,0,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,3,1,1,1,0,0,1,0,0,0,1,0,0
KANSAS-UNK,2,1,0,0,0,0,2,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,2,0,1,0,0,0,1,0,0,0,0,0,0
KANSAS-ELI DORSEY,1,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-85,1,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-RACHEL HEALD,0,1,1,0,0,0,1,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,1,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BRANDON TABOR,0,1,0,0,0,0,2,0,0,0,0,0,0
KANSAS-IAN MCCABE,0,0,0,1,0,0,0,0,0,0,0,0,0
KANSAS-MIKE DEVINE,0,0,0,0,0,0,0,0,0,0,1,0,0
TEXAS-DYLAN BOTTOMS,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,2,0,1,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-UNK,0,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,0,0,0,0,0,0,2,0,0,0,1,0,0
