,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
MIZZOU-UNK,4,2,3,1,2,1,5,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,3,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,3,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-KASYE BEVERS,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,1,0,2,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,1,0,0,0,0,0,0,0,0,0
