,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-KASYE BEVERS,2,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,0,0,0,0,0,1,0,0,0,0,0,0
UMD-MACK MORGAN,2,0,0,1,0,0,1,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,1,0,1,0,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,3,0,0,0,0,0,0,0,0,0
UMD-ABBIE WATERS,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-DALE FARNAN,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,0,0,0,0,0,1,0,0,0,0,0,0
UMD-JOHN SHERIDAN,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,1,1,0,0,0,0,0,0,0
UMD-BEN WHONG,0,0,0,0,0,1,0,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,0,0,0,0,0,0,0,0,0,1,0,0,0
UMD-LAUREN DYKE,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,1,0,0,0,0,0,0,0,0
