,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-COLE BURKE,4,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-MICHAEL JOHNSTON,2,1,0,1,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MIKE MORROW,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,1,2,0,0,0,0,0,0,0,0,1,0,0
TEXAS-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,1,0,1,1,0,0,0,0,0,0,0,0,0
TEXAS-41,1,0,1,0,0,0,1,0,1,0,0,0,0
TXST-JARED KINCER,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-DAVID AVILA,0,1,0,0,0,0,1,0,0,0,0,0,0
TXST-NICK ED,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-CAROLINE TAO,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-DANIEL POPPE,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,1,0,0,0,0,0,0,0,1,0,0
TEXAS-JACK WANG,0,0,0,0,2,1,0,0,0,0,0,0,0
TEXAS-MIA MUNOZ,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-PURVI MUJUMDAR,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,3,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JANETTE GARCIA,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-JOHN MOLINA,0,0,0,0,0,0,0,0,0,0,1,0,0
TXST-MELISSA KITE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-UNK,0,0,0,0,1,1,2,0,0,0,0,0,0
