,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-LUKE MEISSNER,3,0,0,0,0,0,0,0,0,0,1,0,0
UTSA-CARLOS PRADO,3,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,2,1,0,2,0,0,0,0,0,0,0,0,0
UTSA-TYLER ZREET,2,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-UNK,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-CAROLINE TAO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-JAY STEWART,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,0,1,0,0,0,1,1,0,0,0,0,0
UTSA-MATT BLACKWOOD,1,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-RENN LEBER,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,0,0,0
UTSA-ALLIE MESSENGER,0,0,0,0,0,1,0,0,0,0,0,0,0
UTSA-CHUCKY SEPULVEDA,0,0,0,2,0,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,0,0,2,2,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-COLE BURKE,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,0,1,0,0,2,0,0,0,1,0,0
UTSA-AVERIE MESSENGER,0,0,0,0,0,0,2,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,0,0,0,0,0,0,2,0,0,0,0,0,0
