,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UMD-JOHN SHERIDAN,5,0,1,2,0,0,0,0,0,0,0,0,0
UVA-BEN PHILLIPS,3,1,2,0,0,0,0,0,0,0,0,0,0
UVA-MICHAEL HOWELL,3,0,0,0,0,0,0,0,0,0,0,0,0
UMD-MIKE SINDALL,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,0,2,1,0,0,0,0,0,0,0,0,0
UVA-EVAN KORTEBEIM,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,1,0,0,0,0,0,1,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,0,4,0,0,0,0,1,0,0,0,0,0,0
UMD-ABBY POTTER,0,1,1,0,0,0,0,0,0,0,1,0,0
UMD-MACK MORGAN,0,1,0,0,0,0,1,1,0,0,0,0,0
UMD-HEATHER FARNAN,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-AIDAN MOSSIP,0,0,0,0,2,0,0,0,0,0,0,0,0
UVA-HANNAH ROLLINS,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-JOE SCHINDERLE,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-LANE BURGESS,0,0,0,0,1,2,0,0,0,0,0,0,0
UVA-MATTHEW STEELBERG,0,0,2,0,0,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,4,1,1,0,0,0,0,0,0
UVA-26,0,0,0,0,0,0,1,0,0,0,0,0,0
UVA-MATTHEW COOPER,0,0,1,0,0,0,1,0,0,0,1,0,0
