,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
NYU-FRANK MINSON,3,0,1,0,0,0,1,0,0,0,0,0,0
TUFTS-JOHN PARRISH,3,0,1,0,0,0,3,0,0,0,0,0,0
NYU-SEAMUS SLADE,1,0,1,1,0,0,0,0,0,0,1,0,0
NYU-ANTONIO DIMEGLIO,1,0,1,0,0,0,1,0,0,0,0,0,0
TUFTS-DONOVAN BRADY,1,0,1,0,0,0,1,0,0,0,0,0,0
TUFTS-FINN MCGARGHAN,0,4,1,0,0,0,2,0,0,0,0,0,0
NYU-42,0,0,0,0,0,1,0,0,0,0,0,0,0
NYU-ANTOINE GIRON,0,0,0,0,1,1,0,0,0,0,0,0,0
NYU-CAROLYN VACA,0,0,0,0,1,0,0,0,0,0,0,0,0
NYU-KELLAN CUPID,0,0,0,0,0,0,0,1,0,0,0,0,0
TUFTS-66,0,0,0,0,3,0,0,0,0,0,0,0,0
TUFTS-HENRY BAER-BENSON,0,0,1,0,0,0,0,0,0,0,0,0,0
TUFTS-SERENA MONTEIRO,0,0,0,0,0,0,0,0,0,0,1,0,0
TUFTS-THOMAS CHANG-DAVIDSON,0,0,0,0,2,0,0,0,0,0,0,0,0
NYU-DANIELLE FULLER,0,0,0,0,0,0,1,0,0,0,0,0,0
NYU-JOHN MUDGETT,0,0,0,0,0,0,1,0,0,0,0,0,0
NYU-SIDNEY MONTAGUE,0,0,0,0,0,0,1,0,0,0,0,0,0
TUFTS-ATHENA MAYOR,0,0,0,0,0,0,1,0,0,0,0,0,0
