,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UMD-JOHN SHERIDAN,2,0,0,1,0,1,0,0,0,0,0,0,0
UVA-MATTHEW COOPER,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-2,1,0,1,0,0,0,0,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-MICHAEL HOWELL,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-MACK MORGAN,0,1,1,0,0,1,0,0,0,0,0,0,0
UVA-MATTHEW STEELBERG,0,1,2,0,0,0,0,0,0,0,0,0,0
UMD-13,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-45,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-HEATHER FARNAN,0,0,0,0,1,1,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,2,1,0,0,0,0,0,0,0
UVA-88,0,0,0,1,0,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,0,0,0,2,0,0,0,0,0,0,0,0,0
UVA-LANE BURGESS,0,0,0,0,2,0,0,0,0,0,0,0,0
UMD-TJ GENERETTE,0,0,0,1,0,0,1,1,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,0,0,0,0,0,0,1,0,0,0,0,0,0
