,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-KASYE BEVERS,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,2,0,2,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,2,2,0,0,0,0,0,0,0,0,0,0
TEXAS-COLE BURKE,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,1,0,0,0,0,0,1,0,0,0,1,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,1,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,1,1,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,1,1,0,0,0,1,0,0,0,0,0,0
TAMU-ARON GEBREMICAEL,0,0,0,0,1,1,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,2,1,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,1,2,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,1,1,0,0,1,0,0,0,0,0,0
TAMU-MCKENZIE ONEAL,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,0,0,2,0,0,0,0,0,0
