,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TAMU-CONNOR MCINTYRE,4,0,1,1,0,0,3,0,0,0,0,0,0
UTSA-RENN LEBER,3,1,1,0,0,0,0,0,0,0,0,0,0
UTSA-TYLER ZREET,3,0,1,2,0,0,0,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,2,2,1,0,0,0,0,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,2,1,1,0,0,0,0,0,0,0,0,0,0
UTSA-AVERIE MESSENGER,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,2,0,2,1,0,0,1,0,0,0,0,0,0
UTSA-CARLOS PRADO,1,3,2,0,0,0,1,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-CARSYN DIETZ,1,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-RANDI DORAN,0,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-12,0,1,0,0,0,0,1,0,0,0,0,0,0
TAMU-87,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-ANGELA HEMBREE,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,0,0,0,0,0,0,1,1,0
UTSA-DANIEL WILLIAMS,0,0,0,0,3,1,0,0,0,0,0,0,0
UTSA-NATE SALDIVAR,0,0,0,0,1,0,0,0,0,0,0,0,0
