,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UTSA-TYLER ZREET,3,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-CARLOS PRADO,3,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,1,1,0,0,0,4,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,2,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,2,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-COLE BURKE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,1,0,0,1,0,0,0,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,1,0,0,1,0,0,0,1,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,1,0,0,1,0,0,0,0,0,0
UTSA-RENN LEBER,1,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-CARSYN DIETZ,0,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,2,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,0,0,2,1,0,0,0,0,0,0,0
TEXAS-CAROLINE TAO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-NATE SALDIVAR,0,0,0,0,0,0,1,0,0,0,0,0,0
