,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
MIAMIU-HAYDEN MCCLEARY,3,2,1,0,0,0,1,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,3,2,0,0,0,0,2,0,0,0,0,0,0
UCLA-RYAN HARRIS,2,1,0,0,0,0,0,0,0,0,1,0,0
MIAMIU-99,2,1,0,0,0,0,1,0,0,0,0,0,0
MIAMIU-12,2,0,0,2,0,0,0,0,0,0,0,0,0
MIAMIU-UNK,2,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-ELIZABETH NG,2,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-TRAVIS GILMORE,2,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-CHRISTIAN CLARION,1,1,0,0,0,0,0,0,0,0,0,0,0
UCLA-CHRISTIAN KRIEGER,1,0,0,1,0,0,0,0,0,0,0,0,0
MIAMIU-42,1,0,0,0,0,0,1,0,0,0,0,0,0
MIAMIU-SAM RAPNICKI,1,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-UNK,1,0,0,0,1,0,1,0,0,0,1,0,0
MIAMIU-20,0,0,0,0,0,1,0,0,0,0,0,0,0
MIAMIU-34,0,0,1,0,0,0,0,0,0,0,0,0,0
MIAMIU-76,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-BADAL CHANDRA,0,0,0,0,0,0,0,1,0,0,0,0,0
UCLA-DANI CLARKE,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-JACOB METEVIA,0,0,0,0,1,0,0,0,0,0,0,0,0
MIAMIU-9,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-KEVIN GALLAGHER,0,0,0,0,0,0,1,0,0,0,0,0,0
