,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TAMU-SAM HAIMOWITZ,4,2,1,0,0,0,0,0,0,1,0,0,0
TAMU-SHAWN ERWIN,3,0,0,0,0,0,0,0,0,0,1,0,0
UMD-GARRETT SADTLER,2,4,0,1,0,0,2,0,0,0,0,0,0
TAMU-SAMMY GARZA,2,1,1,0,0,0,0,0,0,0,0,0,0
UMD-JOHN SHERIDAN,2,0,1,0,0,0,0,0,0,0,1,0,0
UMD-NATHAN ABBOTT,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,1,2,0,0,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-44,1,0,0,1,0,0,0,0,0,0,0,0,0
UMD-ABBY POTTER,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-1,0,2,0,1,0,0,0,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,0,0,1,1,0,0,0,0,1,0,0
TAMU-COURTNEY YOUNGS,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-LOGAN ZAHN,0,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-BEN WHONG,0,0,1,0,0,0,0,1,0,0,0,0,0
UMD-DALE FARNAN,0,0,0,0,0,0,0,0,0,0,1,0,0
UMD-LAUREN DYKE,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-RYAN PIRTLE,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-19,0,0,0,0,0,0,1,0,0,1,0,0,0
TAMU-JESSICA HEMBREE,0,0,0,0,0,0,1,0,0,0,0,0,0
