,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
SHSU-SAM REAGAN,6,2,0,0,0,0,1,0,0,0,1,0,0
TXST-AMBER BONHOMME,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,2,2,0,0,0,0,0,0,0,0,0,0,0
TXST-TAYLOR AHOYT,2,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-UNK,2,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-RED RUTLEDGE,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-ELLE PICHARDO,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MICHAEL GENTEMPO,1,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-RICHARD ARAGORN,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-UNK,1,0,0,0,0,0,2,0,0,0,0,0,0
TXST-NICK ED,0,3,2,0,0,0,1,0,0,0,0,0,0
TXST-CONNOR ELLSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,0,1,0,1,0,0,0,0,0,0,0,0,0
SHSU-BALDEMAR NUNEZ,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-HAYDEN BOYES,0,0,0,1,0,0,0,0,0,0,1,0,0
SHSU-KAT HAYWORTH,0,0,0,0,1,1,0,0,0,1,0,0,0
SHSU-KEENAN NASH,0,0,0,2,0,0,0,0,0,0,0,0,0
SHSU-THOMAS MORGAN,0,0,0,1,0,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,0,0,0,1,0,0,0,1,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-MICHAEL SAGER,0,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-RALF MANDUJANO,0,0,1,0,0,0,1,1,0,0,0,0,0
