,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
SHSU-SAM REAGAN,3,0,0,1,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,2,1,0,0,0,0,0,0,0,0,0,0
SHSU-JAY ROSS,2,0,0,0,0,0,0,0,0,0,1,0,0
SHSU-RED RUTLEDGE,2,0,0,0,0,0,0,0,0,0,1,0,0
TEXAS-JOSH JOHNSON,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-RALF MANDUJANO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-SETH LAPRAY,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,1,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-MICAH HEPBURN,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,1,1,0,0,0,0,0,0,0,0,0,0
SHSU-HAYDEN BOYES,0,1,0,0,0,0,1,0,0,0,0,0,0
SHSU-BALDEMAR NUNEZ,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-KAT HAYWORTH,0,0,0,0,0,0,0,0,0,0,1,0,0
TEXAS-DAVID HUBER,0,0,0,0,1,1,0,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-JOHN ANDERSON,0,0,1,0,0,0,0,1,0,0,0,0,0
TEXAS-JOSHUA MAGEE,0,0,0,0,0,0,0,0,0,0,1,0,0
TEXAS-NATHAN LEWIS,0,0,1,0,0,0,0,0,0,0,0,0,0
SHSU-GRACE ATKINSON,0,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-KEENAN NASH,0,0,1,0,0,0,1,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,0,0,0,0,0,2,0,0,0,0,0,0
