,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
SHSU-SAM REAGAN,3,1,2,0,0,0,0,0,0,0,1,0,0
TAMU-CAMERON VILLAMIL,3,1,1,1,0,0,0,0,0,0,1,0,0
SHSU-JAY ROSS,2,1,4,0,0,0,0,1,0,0,0,0,0
TAMU-HAYDEN ALTMAN,2,1,0,1,0,0,0,0,0,0,0,0,0
SHSU-RED RUTLEDGE,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-KODY FOX,2,0,0,0,0,1,0,0,0,0,1,0,0
TAMU-JACK MCBRIDE,1,2,1,0,0,0,0,0,0,0,0,0,0
TAMU-BLAINE MCCULLARS,1,1,1,1,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-HALEY DUPRE,1,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-RICHARD ARAGORN,1,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-MICAH HEPBURN,1,0,1,1,0,0,2,0,0,0,1,0,0
SHSU-GRACE ATKINSON,0,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-RALF MANDUJANO,0,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-BALDEMAR NUNEZ,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-KAT HAYWORTH,0,0,1,0,1,0,0,0,0,0,0,0,0
TAMU-44,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-ARON GEBREMICAEL,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-TRAVIS WARD,0,0,0,1,0,0,1,0,0,0,0,0,0
