,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
RPI-NICK DUPRE,3,0,0,1,0,0,0,0,0,0,0,0,0
UVA-JULIA MARKS,3,0,0,0,0,0,1,0,0,0,0,0,0
RPI-ERIK BERGLAND,3,0,2,0,0,0,2,0,0,0,0,0,0
UVA-DAVID LITTLETON,2,0,1,0,0,0,1,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,1,1,1,0,0,0,0,0,0,0,0,0,0
UVA-BEN PHILLIPS,1,1,0,0,0,0,1,0,0,0,0,0,0
RPI-MAX CAREY,1,1,0,0,0,0,2,0,0,0,0,0,0
RPI-NICK ZONER,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,1,0,0,1,0,0,0,0,0,0,0,0,0
UVA-MATTHEW COOPER,1,0,0,1,0,0,2,0,0,0,1,0,0
UVA-GATES YOUNG,0,2,0,0,0,0,1,0,0,0,0,0,0
RPI-TYLER BECKMANN,0,1,1,0,0,0,1,1,0,0,0,0,0
RPI-CARSEN OLAZABA,0,0,0,0,2,0,0,0,0,0,0,0,0
UVA-AIDAN MOSSIP,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-PEYTON BURROW,0,0,0,1,0,0,0,0,0,0,0,0,0
RPI-KEVIN IOTT,0,0,0,0,0,0,1,0,0,0,0,0,0
RPI-VANESSA KEATING,0,0,0,0,0,0,1,0,0,0,0,0,0
