,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
HARVARD-BLAKE YOUNG,5,1,0,1,0,0,1,0,0,0,0,0,0
TUFTS-JOHN PARRISH,3,0,0,0,0,0,3,0,0,0,0,0,0
TUFTS-HARRY QUEENEY,2,0,0,0,0,0,0,0,0,1,0,0,0
HARVARD-FELIX BULWA,2,0,1,0,0,0,2,0,0,0,0,0,0
TUFTS-DONOVAN BRADY,1,1,0,0,0,0,0,0,0,0,0,0,0
HARVARD-ANALUIZA NICOLAE,1,0,0,0,0,0,0,0,0,0,0,0,0
HARVARD-LEO FRIED,1,0,0,1,0,0,2,1,0,0,0,0,0
TUFTS-ATHENA MAYOR,0,2,0,0,0,0,0,0,0,0,0,0,0
TUFTS-HENRY BAER-BENSON,0,2,2,1,0,0,1,0,0,0,0,0,0
HARVARD-JESSE THUE,0,1,0,0,0,0,0,0,0,1,0,0,0
HARVARD-9,0,0,0,1,0,0,0,0,0,0,0,0,0
HARVARD-JAMES DEVANEY,0,0,0,1,0,0,0,0,0,0,0,0,0
HARVARD-MICHAEL CHENEVEY,0,0,0,0,2,0,0,0,0,0,0,0,0
HARVARD-NATALIE SHERMAN-JOLLIS,0,0,1,0,0,0,0,0,0,0,0,0,0
TUFTS-JAKE ZASLAV,0,0,0,0,0,0,0,0,0,1,0,0,0
TUFTS-SERENA MONTEIRO,0,0,0,0,2,0,0,0,0,0,0,0,0
TUFTS-26,0,0,0,0,0,0,1,0,0,0,0,0,0
TUFTS-SOPHIE COBURN,0,0,1,0,0,0,1,0,0,0,0,0,0
