,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
MIZZOU-2,4,0,0,1,0,0,1,0,0,0,0,0,0
MICHIGAN-99,2,1,0,1,0,0,2,0,0,0,1,0,0
MIZZOU-DREW MATZES,1,4,0,1,0,0,2,0,0,0,0,0,0
MIZZOU-34,1,1,0,0,0,0,0,0,0,0,0,0,0
MICHIGAN-15,1,0,0,0,0,0,0,0,0,0,0,0,0
MICHIGAN-19,1,0,0,1,0,0,0,0,0,0,0,0,0
MICHIGAN-84,1,0,0,0,0,0,0,0,0,0,1,0,0
MIZZOU-10,1,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-RUTHIE POLIO,1,0,0,0,0,0,1,0,0,0,0,0,0
MICHIGAN-12,1,0,0,0,0,0,2,0,0,0,0,0,0
MICHIGAN-ANDREW STEPHENSON,1,0,0,0,0,0,2,0,0,0,0,0,0
MICHIGAN-98,0,1,0,0,0,0,1,0,0,0,0,0,0
MICHIGAN-16,0,0,0,0,0,1,0,0,0,0,0,0,0
MICHIGAN-5,0,0,0,0,2,0,0,0,0,0,0,0,0
MICHIGAN-59,0,0,0,0,1,0,0,1,0,0,0,0,0
MICHIGAN-66,0,0,0,0,1,0,0,0,0,0,0,0,0
MIZZOU-BEN SCHLUETER,0,0,0,0,2,1,0,0,0,0,0,0,0
