,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TUFTS-FINN MCGARGHAN,3,1,2,0,0,0,2,0,0,0,0,0,0
HARVARD-LEO FRIED,2,0,1,0,0,0,0,0,0,0,1,0,0
TUFTS-JOHN PARRISH,1,2,1,0,0,0,1,0,0,0,0,0,0
TUFTS-DONOVAN BRADY,1,1,0,0,0,0,2,0,0,0,0,0,0
HARVARD-FELIX BULWA,1,0,1,0,0,0,0,0,0,0,0,0,0
HARVARD-RYAN CHESTER,1,0,0,0,0,0,1,0,0,0,0,0,0
HARVARD-UNK,0,1,0,0,0,0,1,0,0,0,0,0,0
HARVARD-ADE ARJONA,0,0,0,0,3,0,0,0,0,0,0,0,0
HARVARD-DANIEL GOTTESMAN,0,0,0,0,0,0,0,0,0,1,0,0,0
HARVARD-MICHAEL CHENEVEY,0,0,0,0,2,0,0,0,0,0,0,0,0
TUFTS-HARRY QUEENEY,0,0,0,0,0,0,0,1,0,0,0,0,0
TUFTS-HENRY BAER-BENSON,0,0,0,1,0,0,0,0,0,0,0,0,0
TUFTS-SERENA MONTEIRO,0,0,0,0,2,0,0,0,0,1,0,0,0
TUFTS-SOPHIE COBURN,0,0,0,2,0,0,0,0,0,0,0,0,0
TUFTS-THOMAS CHANG-DAVIDSON,0,0,0,0,1,0,0,0,0,0,0,0,0
TUFTS-UNK,0,0,0,2,0,0,0,0,0,0,0,0,0
HARVARD-66,0,0,0,0,0,0,1,0,0,0,0,0,0
TUFTS-ATHENA MAYOR,0,0,0,0,0,0,1,0,0,0,0,0,0
