,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-JOHN ANDERSON,0,3,0,0,0,0,3,0,0,0,0,0,0
TEXAS-AIDAN PARSI,4,0,0,0,1,1,2,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,1,1,0,0,0,0,2,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,0,1,0,0,0,0,0,0
UMD-DALE FARNAN,0,0,0,0,0,0,1,0,0,0,0,0,0
UMD-MACK MORGAN,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-ANDRES GARZA,0,0,0,0,1,1,1,0,0,0,0,0,0
TEXAS-NICK MARINO,4,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-54,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,0,0,0,0,0,0,0,0,0,0,0,1
UMD-4,1,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,1,0,0,0,0,0,0,1,0,0,0
TEXAS-JOCELYN WHISTLER,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-BEN WHONG,0,0,0,0,0,0,0,0,0,0,0,0,1
UMD-BRENDAN HUTTON,0,0,0,0,0,0,0,0,0,1,0,0,0
UMD-LAUREN DYKE,0,0,0,0,0,0,0,0,0,1,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,0,0,0,0,0,1,0,0,0
